Gene_id	UniProt_AC	UniProt_ID	EntrezGene	symbol
Solyc00g005000.2				
Solyc00g005020.1				
Solyc00g005040.2				
Solyc00g005050.2				
Solyc00g005060.1				
Solyc00g005070.1				
Solyc00g005080.1				
Solyc00g005090.1				
Solyc00g005100.1				
Solyc00g005110.1				
Solyc00g005120.1				
Solyc00g005130.1				
Solyc00g005140.1				
Solyc00g005150.1				
Solyc00g005160.1				
Solyc00g005170.1				
Solyc00g005180.1				
Solyc00g005280.1				
Solyc00g005420.1				
Solyc00g005430.1				
Solyc00g005440.1				
Solyc00g005450.1				
Solyc00g005460.1				
Solyc00g005470.1				
Solyc00g005480.1				
Solyc00g005490.1				
Solyc00g005840.2				
Solyc00g005850.1				
Solyc00g005860.1				
Solyc00g005870.1				
Solyc00g005880.1				
Solyc00g005890.2				
Solyc00g005900.1				
Solyc00g005980.1				
Solyc00g006010.1				
Solyc00g006020.1				
Solyc00g006050.1				
Solyc00g006090.1				
Solyc00g006170.1				
Solyc00g006250.1				
Solyc00g006470.1				
Solyc00g006480.1				
Solyc00g006490.2				
Solyc00g006500.1				
Solyc00g006510.1				
Solyc00g006520.1				
Solyc00g006530.1				
Solyc00g006540.1				
Solyc00g006550.1				
Solyc00g006560.1				
Solyc00g006570.1				
Solyc00g006590.1				
Solyc00g006600.1				
Solyc00g006630.1				
Solyc00g006650.1				
Solyc00g006660.1				
Solyc00g006670.2				
Solyc00g006680.1				
Solyc00g006690.2				
Solyc00g006700.1				
Solyc00g006800.2	Q9FVH1	Q9FVH1_SOLLC		TAL
Solyc00g006810.2				
Solyc00g006820.2				
Solyc00g006830.2				
Solyc00g006840.2				
Solyc00g006850.1				
Solyc00g006860.1				
Solyc00g006870.1				
Solyc00g006880.1				
Solyc00g006890.1				
Solyc00g006900.1				
Solyc00g007000.1				
Solyc00g007010.2				
Solyc00g007020.1				
Solyc00g007030.1				
Solyc00g007040.1				
Solyc00g007050.1				
Solyc00g007060.2				
Solyc00g007070.2				
Solyc00g007080.2				
Solyc00g007090.2				
Solyc00g007100.2				
Solyc00g007110.2				
Solyc00g007120.2				
Solyc00g007130.2				
Solyc00g007140.1				
Solyc00g007150.2				
Solyc00g007160.1				
Solyc00g007170.1				
Solyc00g007180.1				
Solyc00g007190.2				
Solyc00g007200.2				
Solyc00g007210.1				
Solyc00g007220.2				
Solyc00g007230.1				
Solyc00g007240.1				
Solyc00g007250.1				
Solyc00g007260.2				
Solyc00g007270.2				
Solyc00g007290.1				
Solyc00g007300.2				
Solyc00g007310.1				
Solyc00g007320.1				
Solyc00g007330.1				
Solyc00g007340.1				
Solyc00g007350.1				
Solyc00g007450.1				
Solyc00g007550.1				
Solyc00g007560.1				
Solyc00g007570.1				
Solyc00g007580.1				
Solyc00g007590.1				
Solyc00g007600.1				
Solyc00g007610.1				
Solyc00g007910.1				
Solyc00g007920.1				
Solyc00g007930.1				
Solyc00g007940.1				
Solyc00g007950.1				
Solyc00g007960.1				
Solyc00g007970.1				
Solyc00g007980.1				
Solyc00g007990.1				
Solyc00g008000.1				
Solyc00g008010.1				
Solyc00g008020.1				
Solyc00g008030.1				
Solyc00g008040.1				
Solyc00g008050.1				
Solyc00g008060.1				
Solyc00g008070.1				
Solyc00g008080.1				
Solyc00g008090.1				
Solyc00g008100.1				
Solyc00g008110.1				
Solyc00g008120.1				
Solyc00g008130.1				
Solyc00g008140.1				
Solyc00g008150.1				
Solyc00g008160.1				
Solyc00g008260.1				
Solyc00g008270.1				
Solyc00g008570.2				
Solyc00g008580.1				
Solyc00g008680.2				
Solyc00g008690.1				
Solyc00g008800.1				
Solyc00g008900.1				
Solyc00g008910.1				
Solyc00g008920.1				
Solyc00g009020.2				
Solyc00g009030.1				
Solyc00g009040.2				
Solyc00g009050.1				
Solyc00g009060.2				
Solyc00g009070.1				
Solyc00g009080.2				
Solyc00g009090.2				
Solyc00g009100.2				
Solyc00g009110.2	A8IDW2	A8IDW2_SOLLC	100134897	5PT2
Solyc00g009120.2				
Solyc00g009130.2				
Solyc00g009140.2				
Solyc00g009240.1				
Solyc00g009440.1				
Solyc00g009540.1				
Solyc00g009650.1				
Solyc00g009660.1				
Solyc00g009760.2				
Solyc00g009770.1				
Solyc00g009780.1				
Solyc00g009790.1				
Solyc00g009800.1				
Solyc00g010100.1				
Solyc00g010110.1				
Solyc00g010210.1				
Solyc00g010410.1				
Solyc00g010420.1				
Solyc00g010520.1				
Solyc00g010530.1				
Solyc00g010540.1				
Solyc00g010550.1				
Solyc00g010750.1				
Solyc00g010760.1				
Solyc00g010770.1				
Solyc00g010780.1				
Solyc00g010790.1				
Solyc00g010810.1				
Solyc00g010930.1				
Solyc00g011130.1				
Solyc00g011140.1				
