gene_stable_id	transcript_stable_id	protein_stable_id	xref	db_name	info_type	source_identity	xref_identity	linkage_type
Solyc01g005000.3	Solyc01g005000.3.1	Solyc01g005000.3.1	100147723	EntrezGene	DEPENDENT	-	-	-
Solyc01g005020.3	Solyc01g005020.3.1	Solyc01g005020.3.1	778208	EntrezGene	DEPENDENT	-	-	-
Solyc01g005060.3	Solyc01g005060.3.1	Solyc01g005060.3.1	101262550	EntrezGene	DEPENDENT	-	-	-
Solyc01g005070.3	Solyc01g005070.3.1	Solyc01g005070.3.1.1	104645786	EntrezGene	DEPENDENT	-	-	-
Solyc01g005210.3	Solyc01g005210.3.1	Solyc01g005210.3.1	101259279	EntrezGene	DEPENDENT	-	-	-
Solyc01g005220.3	Solyc01g005220.3.1	Solyc01g005220.3.1	101258984	EntrezGene	DEPENDENT	-	-	-
Solyc01g005230.3	Solyc01g005230.3.1	Solyc01g005230.3.1	101245689	EntrezGene	DEPENDENT	-	-	-
Solyc01g005250.3	Solyc01g005250.3.1	Solyc01g005250.3.1	101258686	EntrezGene	DEPENDENT	-	-	-
Solyc01g005270.3	Solyc01g005270.3.1	Solyc01g005270.3.1	101257498	EntrezGene	DEPENDENT	-	-	-
Solyc01g005280.3	Solyc01g005280.3.1	Solyc01g005280.3.1	101257203	EntrezGene	DEPENDENT	-	-	-
Solyc01g005370.3	Solyc01g005370.3.1	Solyc01g005370.3.1.1	101247547	EntrezGene	DEPENDENT	-	-	-
Solyc01g005390.3	Solyc01g005390.3.1	Solyc01g005390.3.1	101248702	EntrezGene	DEPENDENT	-	-	-
Solyc01g005400.3	Solyc01g005400.3.1	Solyc01g005400.3.1	101245281	EntrezGene	DEPENDENT	-	-	-
Solyc01g005410.3	Solyc01g005410.3.1	Solyc01g005410.3.1	101245874	EntrezGene	DEPENDENT	-	-	-
Solyc01g005430.3	Solyc01g005430.3.1	Solyc01g005430.3.1	101251912	EntrezGene	DEPENDENT	-	-	-
Solyc01g005470.3	Solyc01g005470.3.1	Solyc01g005470.3.1	101250247	EntrezGene	DEPENDENT	-	-	-
Solyc01g005480.3	Solyc01g005480.3.1	Solyc01g005480.3.1	101266061	EntrezGene	DEPENDENT	-	-	-
Solyc01g005500.3	Solyc01g005500.3.1	Solyc01g005500.3.1	101246172	EntrezGene	DEPENDENT	-	-	-
Solyc01g005510.3	Solyc01g005510.3.1	Solyc01g005510.3.1.1	101251411	EntrezGene	DEPENDENT	-	-	-
Solyc01g005520.3	Solyc01g005520.3.1	Solyc01g005520.3.1	101254513	EntrezGene	DEPENDENT	-	-	-
Solyc01g005530.3	Solyc01g005530.3.1	Solyc01g005530.3.1	101252018	EntrezGene	DEPENDENT	-	-	-
Solyc01g005540.3	Solyc01g005540.3.1	Solyc01g005540.3.1	101243628	EntrezGene	DEPENDENT	-	-	-
Solyc01g005550.3	Solyc01g005550.3.1	Solyc01g005550.3.1	101253614	EntrezGene	DEPENDENT	-	-	-
Solyc01g005560.3	Solyc01g005560.3.1	Solyc01g005560.3.1	101268602	EntrezGene	DEPENDENT	-	-	-
Solyc01g005590.2	Solyc01g005590.2.1	Solyc01g005590.2.1.1	104645726	EntrezGene	DEPENDENT	-	-	-
Solyc01g005620.3	Solyc01g005620.3.1	Solyc01g005620.3.1	778218	EntrezGene	DEPENDENT	-	-	-
Solyc01g005670.3	Solyc01g005670.3.1	Solyc01g005670.3.1.1	101244517	EntrezGene	DEPENDENT	-	-	-
Solyc01g005810.3	Solyc01g005810.3.1	Solyc01g005810.3.1	101257100	EntrezGene	DEPENDENT	-	-	-
Solyc01g005840.3	Solyc01g005840.3.1	Solyc01g005840.3.1	101245577	EntrezGene	DEPENDENT	-	-	-
Solyc01g005910.3	Solyc01g005910.3.1	Solyc01g005910.3.1	101262945	EntrezGene	DEPENDENT	-	-	-
Solyc01g005930.3	Solyc01g005930.3.1	Solyc01g005930.3.1	101264048	EntrezGene	DEPENDENT	-	-	-
Solyc01g005960.3	Solyc01g005960.3.1	Solyc01g005960.3.1	101244218	EntrezGene	DEPENDENT	-	-	-
Solyc01g005970.3	Solyc01g005970.3.1	Solyc01g005970.3.1	101255619	EntrezGene	DEPENDENT	-	-	-
Solyc01g005980.3	Solyc01g005980.3.1	Solyc01g005980.3.1	101247847	EntrezGene	DEPENDENT	-	-	-
Solyc01g005990.3	Solyc01g005990.3.1	Solyc01g005990.3.1	101250539	EntrezGene	DEPENDENT	-	-	-
Solyc01g006000.3	Solyc01g006000.3.1	Solyc01g006000.3.1	101254228	EntrezGene	DEPENDENT	-	-	-
Solyc01g006010.3	Solyc01g006010.3.1	Solyc01g006010.3.1	101266547	EntrezGene	DEPENDENT	-	-	-
Solyc01g006020.3	Solyc01g006020.3.1	Solyc01g006020.3.1	101264357	EntrezGene	DEPENDENT	-	-	-
Solyc01g006050.2	Solyc01g006050.2.1	Solyc01g006050.2.1.1	101248128	EntrezGene	DEPENDENT	-	-	-
Solyc01g006060.3	Solyc01g006060.3.1	Solyc01g006060.3.1.1	101252620	EntrezGene	DEPENDENT	-	-	-
Solyc01g006070.2	Solyc01g006070.2.1	Solyc01g006070.2.1.1	101248412	EntrezGene	DEPENDENT	-	-	-
Solyc01g006110.3	Solyc01g006110.3.1	Solyc01g006110.3.1	101267441	EntrezGene	DEPENDENT	-	-	-
Solyc01g006150.3	Solyc01g006150.3.1	Solyc01g006150.3.1	101253924	EntrezGene	DEPENDENT	-	-	-
Solyc01g006190.3	Solyc01g006190.3.1	Solyc01g006190.3.1	101263446	EntrezGene	DEPENDENT	-	-	-
Solyc01g006280.3	Solyc01g006280.3.1	Solyc01g006280.3.1	101265950	EntrezGene	DEPENDENT	-	-	-
Solyc01g006300.3	Solyc01g006300.3.1	Solyc01g006300.3.1	544084	EntrezGene	DEPENDENT	-	-	-
Solyc01g006310.3	Solyc01g006310.3.1	Solyc01g006310.3.1	101268131	EntrezGene	DEPENDENT	-	-	-
Solyc01g006370.3	Solyc01g006370.3.1	Solyc01g006370.3.1	101263837	EntrezGene	DEPENDENT	-	-	-
Solyc01g006380.2	Solyc01g006380.2.1	Solyc01g006380.2.1.1	101265762	EntrezGene	DEPENDENT	-	-	-
Solyc01g006390.2	Solyc01g006390.2.1	Solyc01g006390.2.1	543740	EntrezGene	DEPENDENT	-	-	-
Solyc01g006430.3	Solyc01g006430.3.1	Solyc01g006430.3.1.1	101259966	EntrezGene	DEPENDENT	-	-	-
Solyc01g006440.2	Solyc01g006440.2.1	Solyc01g006440.2.1	101266857	EntrezGene	DEPENDENT	-	-	-
Solyc01g006450.3	Solyc01g006450.3.1	Solyc01g006450.3.1	101248511	EntrezGene	DEPENDENT	-	-	-
Solyc01g006480.3	Solyc01g006480.3.1	Solyc01g006480.3.1	101244219	EntrezGene	DEPENDENT	-	-	-
Solyc01g006490.3	Solyc01g006490.3.1	Solyc01g006490.3.1	101266256	EntrezGene	DEPENDENT	-	-	-
Solyc01g006500.3	Solyc01g006500.3.1	Solyc01g006500.3.1	101256511	EntrezGene	DEPENDENT	-	-	-
Solyc01g006510.3	Solyc01g006510.3.1	Solyc01g006510.3.1	778312	EntrezGene	DEPENDENT	-	-	-
Solyc01g006610.2	Solyc01g006610.2.1	Solyc01g006610.2.1	101250832	EntrezGene	DEPENDENT	-	-	-
Solyc01g006620.3	Solyc01g006620.3.1	Solyc01g006620.3.1.1	101247357	EntrezGene	DEPENDENT	-	-	-
Solyc01g006630.3	Solyc01g006630.3.1	Solyc01g006630.3.1	101248809	EntrezGene	DEPENDENT	-	-	-
Solyc01g006650.2	Solyc01g006650.2.1	Solyc01g006650.2.1	101249950	EntrezGene	DEPENDENT	-	-	-
Solyc01g006690.3	Solyc01g006690.3.1	Solyc01g006690.3.1	101252211	EntrezGene	DEPENDENT	-	-	-
Solyc01g006700.3	Solyc01g006700.3.1	Solyc01g006700.3.1	101266252	EntrezGene	DEPENDENT	-	-	-
Solyc01g006730.3	Solyc01g006730.3.1	Solyc01g006730.3.1	101250538	EntrezGene	DEPENDENT	-	-	-
Solyc01g006760.3	Solyc01g006760.3.1	Solyc01g006760.3.1	109119844	EntrezGene	DEPENDENT	-	-	-
Solyc01g006770.2	Solyc01g006770.2.1	Solyc01g006770.2.1	104646356	EntrezGene	DEPENDENT	-	-	-
Solyc01g006840.3	Solyc01g006840.3.1	Solyc01g006840.3.1	101263840	EntrezGene	DEPENDENT	-	-	-
Solyc01g006850.1	Solyc01g006850.1.1	Solyc01g006850.1.1.1	101263541	EntrezGene	DEPENDENT	-	-	-
Solyc01g006890.3	Solyc01g006890.3.1	Solyc01g006890.3.1	101267436	EntrezGene	DEPENDENT	-	-	-
Solyc01g006900.3	Solyc01g006900.3.1	Solyc01g006900.3.1	101249001	EntrezGene	DEPENDENT	-	-	-
Solyc01g006930.3	Solyc01g006930.3.1	Solyc01g006930.3.1	101257995	EntrezGene	DEPENDENT	-	-	-
Solyc01g006950.3	Solyc01g006950.3.1	Solyc01g006950.3.1	101262338	EntrezGene	DEPENDENT	-	-	-
Solyc01g006960.3	Solyc01g006960.3.1	Solyc01g006960.3.1	101264146	EntrezGene	DEPENDENT	-	-	-
Solyc01g007050.2	Solyc01g007050.2.1	Solyc01g007050.2.1	101262343	EntrezGene	DEPENDENT	-	-	-
Solyc01g007060.3	Solyc01g007060.3.1	Solyc01g007060.3.1	101262039	EntrezGene	DEPENDENT	-	-	-
Solyc01g007070.3	Solyc01g007070.3.1	Solyc01g007070.3.1	101244699	EntrezGene	DEPENDENT	-	-	-
Solyc01g007080.3	Solyc01g007080.3.1	Solyc01g007080.3.1	101261738	EntrezGene	DEPENDENT	-	-	-
Solyc01g007100.3	Solyc01g007100.3.1	Solyc01g007100.3.1	101266854	EntrezGene	DEPENDENT	-	-	-
Solyc01g007110.3	Solyc01g007110.3.1	Solyc01g007110.3.1	101262646	EntrezGene	DEPENDENT	-	-	-
Solyc01g007120.3	Solyc01g007120.3.1	Solyc01g007120.3.1	101248232	EntrezGene	DEPENDENT	-	-	-
Solyc01g007130.3	Solyc01g007130.3.1	Solyc01g007130.3.1	101267730	EntrezGene	DEPENDENT	-	-	-
Solyc01g007140.3	Solyc01g007140.3.1	Solyc01g007140.3.1	101261149	EntrezGene	DEPENDENT	-	-	-
Solyc01g007150.3	Solyc01g007150.3.1	Solyc01g007150.3.1	101265667	EntrezGene	DEPENDENT	-	-	-
