Solyc11g067270.1.1;	101268255;
Solyc12g010060.2.1;	544227;
Solyc01g104510.3.1;	543534;
Solyc11g011260.1.1;	543881;
Solyc08g066110.3.1;	543782;
Solyc01g009590.3.1;	544145;
Solyc04g049360.3.1;	543912;
Solyc12g010860.2.1;	544114;
Solyc05g005550.3.1;	101252080;
Solyc01g111170.3.1;	100736432;
Solyc04g082030.1.1;	544209;
Solyc01g096190.3.1;	543554;
Solyc07g049530.3.1;	544052;
Solyc02g089160.3.1;	100037489;
Solyc09g066360.1.1;	101247461;
Solyc01g097240.3.1;	544069;
Solyc01g099410.3.1;	101250163;
Solyc12g038510.2.1;	101263981;
Solyc09g064400.2.1;	3950381;
Solyc11g021060.2.1;	543962;
Solyc07g066480.3.1;	543832;
Solyc12g070100.2.1;	101258928;
Solyc00g231680.2.1;	544199;
Solyc07g065840.2.1;	543903;
Solyc07g063410.3.1;	101248026;
Solyc04g040190.1.1;	544104;
Solyc12g041880.2.1;	101248551;
Solyc01g100490.3.1;	101248619;
Solyc05g050560.1.1;	101247327;
Solyc11g066130.1.1;	543971;
Solyc05g007770.3.1;	101244582;
Solyc07g005560.3.1;	543668;
Solyc07g007870.3.1;	543763;
Solyc08g005170.3.1;	101263626;
Solyc06g083980.2.1;	
Solyc02g089350.3.1;	101248254;
Solyc01g056340.3.1;	778329;
Solyc11g066430.1.1;	778354;
Solyc04g011390.1.1;Solyc05g054610.1.1;Solyc06g005420.1.1;Solyc06g005430.1.1;Solyc06g072240.1.1;Solyc06g075830.2.1;Solyc06g075930.1.1;Solyc06g075960.1.1;Solyc11g072860.2.1;	101248209;101256941;101260642;544080;544081;
Solyc01g059965.1.1;	101261650;543987;
Solyc12g011450.2.1;	101243766;
Solyc04g009620.3.1;	544151;
Solyc07g049140.3.1;	543980;
Solyc06g005060.3.1;Solyc06g009970.3.1;	101244084;544055;
Solyc11g012410.2.1;	544013;
Solyc02g062400.3.1;	101251254;
Solyc03g123760.3.1;	544073;
Solyc12g044630.2.1;	544018;
Solyc03g058910.3.1;	101253756;
Solyc04g005320.3.1;	101253992;
Solyc06g076140.3.1;	778358;
Solyc08g005680.3.1;	100316884;
Solyc06g054260.1.1;	543978;
Solyc08g081190.3.1;	544086;
Solyc07g007250.3.1;	544286;
Solyc03g115650.3.1;	543667;
Solyc11g010570.2.1;	
Solyc10g007270.3.1;	101261755;
Solyc11g011030.2.1;	543601;
Solyc10g078770.2.1;	101253038;
Solyc06g083230.3.1;	543831;
Solyc08g061130.3.1;	543733;
Solyc09g008280.2.1;	544302;
Solyc06g068520.3.1;	543883;
Solyc08g014000.3.1;	543994;
Solyc07g049690.3.1;	543642;
Solyc10g081650.2.1;	101267857;
Solyc12g013620.2.1;	543526;
Solyc10g086500.1.1;	543801;
Solyc01g011000.3.1;	543669;
Solyc01g105050.3.1;	101256131;
Solyc11g069040.3.1;	544161;
Solyc02g071730.3.1;	543840;
Solyc12g044880.2.1;	544167;
Solyc12g098350.1.1;	543687;
Solyc03g044890.1.1;	544014;
Solyc01g102770.1.1;	3950482;
Solyc01g109140.3.1;	543675;
Solyc01g095080.3.1;	606304;
Solyc11g068540.2.1;	544141;
Solyc01g099630.3.1;	544272;
Solyc04g082010.1.1;	544053;
Solyc09g066100.3.1;	101248710;
Solyc12g042740.2.1;	544156;
Solyc12g098980.2.1;	544006;
Solyc09g010180.3.1;	543775;
Solyc10g086220.2.1;	544239;
Solyc02g063150.3.1;	543973;
Solyc02g085950.3.1;	101268337;
Solyc03g095770.3.1;	101256570;
Solyc09g008670.3.1;	543983;
Solyc10g075090.2.1;	544034;
Solyc02g077370.1.1;	544042;
Solyc04g058100.3.1;	778300;
Solyc02g065400.3.1;	544299;
Solyc11g011210.2.1;	543963;
Solyc01g060130.3.1;	543958;
Solyc01g087850.2.1;	543726;
Solyc04g051860.3.1;	544078;
Solyc06g073190.3.1;	544022;
Solyc10g080210.2.1;	544051;
Solyc03g034220.3.1;	543974;
Solyc02g084850.3.1;	544056;
Solyc08g076930.1.1;	544165;
Solyc07g056570.1.1;	544163;
Solyc06g007510.3.1;Solyc06g082600.3.1;	100301932;101249087;
Solyc08g016720.1.1;	100316877;
Solyc02g078260.3.1;	544278;
Solyc06g059885.1.1;	543549;
Solyc09g064410.1.1;	3950382;
Solyc05g023800.3.1;	778289;
Solyc05g055230.2.1;	544221;
Solyc10g054560.2.1;Solyc10g054570.2.1;Solyc10g054590.2.1;	101253944;101254245;543525;
Solyc07g066310.3.1;	778297;
Solyc06g082590.1.1;	544043;
Solyc03g111720.3.1;	101253577;
Solyc09g098160.3.1;	543607;
Solyc01g096050.3.1;	
Solyc03g082420.3.1;	544024;
Solyc05g005710.3.1;	544177;
Solyc06g060340.3.1;	101260830;
Solyc04g005610.3.1;	101248665;
Solyc01g059870.3.1 [Q9ZS62-1];	101262847;
Solyc03g031860.3.1;	543988;
Solyc04g058150.3.1;	543972;
Solyc05g007950.3.1;	544098;
Solyc11g069800.1.1;	101266902;
Solyc08g005610.3.1;	101249565;
Solyc03g098050.3.1;	543984;
Solyc04g051510.1.1;	101261320;
Solyc10g055810.2.1;	544148;
Solyc04g079730.1.1;	606711;
Solyc07g049550.3.1;	544285;
Solyc02g065750.2.1;	100136888;
Solyc02g082920.3.1;	544149;
Solyc02g091990.3.1;	778292;
Solyc04g078900.3.1;	100136887;
Solyc03g118290.3.1;	778240;
Solyc07g008620.1.1;	543900;
Solyc03g045070.1.1;	543590;
Solyc07g053260.3.1;	544115;
Solyc07g015860.3.1;	544225;
Solyc08g076460.3.1;	543753;
Solyc01g096475.1.1;	543657;
Solyc01g105030.3.1;	101256629;
Solyc02g082930.3.1;	544147;
Solyc10g007960.1.1;	101247264;
Solyc09g009020.3.1;	544068;
Solyc07g008630.1.1;	101263330;
Solyc03g113120.3.1;	100529138;
Solyc06g074740.3.1;	544040;
Solyc03g114840.3.1;	543884;
Solyc02g060570.1.1;	
Solyc07g064840.2.1;	
Solyc10g047110.2.1;	
Solyc12g008910.2.1;	101244257;
Solyc03g118560.1.1;	
Solyc11g044330.2.1;	
Solyc04g074680.1.1;	
Solyc02g038690.1.1;	101264987;
Solyc08g008430.3.1;	
Solyc04g050270.1.1;	
Solyc04g025300.3.1;	100134882;
Solyc11g042423.1.1;	
Solyc05g047480.2.1;	
Solyc01g097430.3.1;	
Solyc01g091660.3.1;	101259369;
Solyc01g010240.3.1;	
Solyc09g074560.3.1;	101258781;
Solyc01g091585.1.1;	
Solyc11g032230.2.1;	
Solyc00g028530.2.1;	
Solyc04g026060.1.1;	
Solyc10g051050.2.1;	101266373;
Solyc02g065360.3.1;	
Solyc01g087230.3.1;	101247160;
Solyc01g066660.1.1;	
Solyc06g066680.3.1;	101247830;
Solyc07g054230.3.1;	
Solyc05g014220.1.1;	
Solyc09g020120.1.1;	
Solyc09g057683.1.1;	
Solyc12g056940.2.1;	101250973;
Solyc09g014260.1.1;	
Solyc12g027887.1.1;	
Solyc11g072740.1.1;	101254869;
Solyc07g005145.1.1;	
Solyc11g006710.2.1;	101245518;
Solyc01g060310.2.1;	
Solyc05g043425.1.1;	
Solyc04g024750.1.1;	
Solyc10g038130.2.1;	101257906;
Solyc10g008990.3.1;	
Solyc01g014705.1.1;	
Solyc01g106265.1.1;	
Solyc07g054893.1.1;	
Solyc02g076680.3.1;	101247686;
Solyc03g098075.1.1;	
Solyc10g079830.2.1;	
Solyc07g054500.3.1;	
Solyc04g045660.3.1;	
Solyc02g062340.3.1;	101249787;
Solyc08g042070.2.1;	
Solyc02g069720.3.1;	101265799;
Solyc12g098480.1.1;	
Solyc02g076710.3.1;	101246497;
Solyc06g054270.3.1;	101261239;
Solyc01g091000.3.1;	
Solyc06g036660.1.1;	
Solyc11g071310.1.1;	101255958;
Solyc11g018810.2.1;	
Solyc02g080860.2.1;	
Solyc06g083933.1.1;	
Solyc10g080690.2.1;	101268154;
Solyc07g039310.1.1;	101244015;
Solyc02g092515.1.1;	
Solyc07g053370.1.1;	
Solyc11g072710.2.1;	
Solyc10g012350.2.1;	
Solyc06g054455.1.1;	
Solyc01g010933.1.1;	
Solyc01g102495.1.1;	
Solyc02g071760.3.1;	
Solyc08g048070.1.1;	
Solyc02g092080.2.1;	101243757;
Solyc02g088945.1.1;	
Solyc08g082110.3.1;	
Solyc01g087000.3.1;	
Solyc06g050540.1.1;	
Solyc03g013230.1.1;	
Solyc06g006020.2.1;	
Solyc11g007430.2.1;	
Solyc02g085570.3.1;	
Solyc02g077770.3.1;	
Solyc10g011650.3.1;	
Solyc03g115630.3.1;	
Solyc11g072430.2.1;	
Solyc01g020372.1.1;	
Solyc07g021463.1.1;	
Solyc01g095740.3.1;	101245996;
Solyc03g071670.1.1;	
Solyc08g007160.3.1;	101260068;
Solyc01g088050.3.1;	101262454;
Solyc03g119010.3.1;	
Solyc11g066790.2.1;	101267090;
Solyc07g008410.3.1;	
Solyc01g094910.3.1;	543871;
Solyc12g038515.1.1;	
Solyc08g078790.1.1;	109120966;
Solyc04g009300.3.1;	
Solyc02g086585.1.1;	
Solyc08g081980.3.1;	
Solyc11g013845.1.1;	
Solyc02g071990.3.1;	101250766;
Solyc05g007610.3.1;	
Solyc12g044190.2.1;	
Solyc01g008180.3.1;	101245575;
Solyc12g038340.2.1;	101261788;
Solyc01g005530.3.1;	101252018;
Solyc01g111940.3.1;	
Solyc12g038430.2.1;	
Solyc01g105680.3.1;	
Solyc03g113180.3.1;	101246615;
Solyc03g025570.2.1;	
Solyc05g005690.1.1;	101254200;
Solyc08g080840.1.1;	
Solyc04g025190.1.1;	
Solyc08g078070.3.1;	544010;
Solyc01g087610.3.1;	101253829;
Solyc05g013880.1.1;	101249728;
Solyc03g007130.3.1;	
Solyc10g005610.2.1;	101244039;
Solyc04g050050.3.1;	101249910;
Solyc07g043343.1.1;	
Solyc01g010350.3.1;	
Solyc04g077430.3.1;	
Solyc12g014210.2.1;	
Solyc00g012690.1.1;	
Solyc12g087920.1.1;	
Solyc08g077700.3.1;	
Solyc09g005134.1.1;	
Solyc05g046013.1.1;	
Solyc12g098310.2.1;	101263800;
Solyc02g088490.3.1;	101268241;
Solyc03g025927.1.1;	
Solyc03g098520.1.1;	
Solyc08g048545.1.1;	
Solyc12g049480.2.1;	
Solyc09g075910.1.1;	101254732;
Solyc04g048960.1.1;	
Solyc04g077550.1.1;	
Solyc10g007400.3.1;	
Solyc07g055090.1.1;	101256503;
Solyc05g051160.1.1;	
Solyc02g068100.3.1;	101248354;
Solyc04g072500.1.1;	101266630;
Solyc06g073210.3.1;	
Solyc01g014400.1.1;	
